pause_sec,log_pause,rms_before,rms_after,rms_ratio,energy_slope,rate_before,rate_after,rate_delta,last_segment_dur,segment_dur_ratio,vowel_energy_ratio,word_dur_ratio,n_segments,segment_variability,spectral_flux,pitch_mean,pitch_drop,voiced_fraction,y,source
0.46,-0.755023,0.0485224,0.229286,0.211623,-0.000561104,5.0,5.0,0.0,0.07,0.807692,1.97763,0.807692,3,0.0568624,0.0165039,0.0,0.0,0.0,1,dudh
0.0,-4.60517,0.205754,0.173324,1.1871,0.00827528,2.5,2.5,0.0,0.31,1.0,1.9891,1.0,1,0.0,0.0384347,144.546,-24.4233,0.526316,0,dudh
0.05,-2.81341,0.250117,0.241801,1.03439,-0.0232706,2.5,5.0,2.5,0.19,1.9,1.18348,1.9,2,0.127279,0.0352527,209.781,-32.0975,0.684211,0,dudh
0.43,-0.820981,0.115412,0.242433,0.476056,0.0103538,5.0,2.5,-2.5,0.07,0.777778,1.86537,0.777778,3,0.0916515,0.0304006,261.936,0.0,0.157895,0,dudh
0.0,-4.60517,0.24103,0.0997045,2.41742,0.0061636,2.5,2.5,0.0,0.18,1.0,1.50817,1.0,1,0.0,0.0371781,126.643,70.2323,0.578947,0,dudh
0.05,-2.81341,0.117662,0.285793,0.411702,-0.00939721,7.5,7.5,0.0,0.03,0.310345,1.9148,0.310345,3,0.133167,0.0359633,83.7696,0.0,0.0526316,0,dudh
0.25,-1.34707,0.115589,0.201162,0.574605,-0.00309334,2.5,2.5,0.0,0.15,1.0,2.17331,1.0,2,0.0,0.0262333,103.87,0.0,0.157895,0,dudh
0.04,-2.99573,0.118934,0.21577,0.551203,-0.0137311,0.0,5.0,5.0,0.29,1.0,1.95872,1.0,1,0.0,0.0155551,0.0,0.0,0.0,0,dudh
0.0,-4.60517,0.148894,0.174996,0.850838,-0.0114745,2.5,5.0,2.5,0.26,1.0,1.83683,1.0,1,0.0,0.029386,101.08,0.0,0.157895,0,dudh
0.95,-0.040822,0.0452015,0.297668,0.151852,-0.0049692,5.0,5.0,0.0,0.15,1.2,2.65424,1.2,2,0.0353553,0.00821612,160.0,0.0,0.0526316,1,dudh
0.0,-4.60517,0.11418,0.305251,0.374051,-0.00807298,5.0,10.0,5.0,0.06,0.48,1.89977,0.48,2,0.0919239,0.0250444,124.933,18.3268,0.368421,0,dudh
0.0,-4.60517,0.274573,0.326473,0.841024,0.0186553,5.0,0.0,-5.0,0.16,1.84615,1.79795,1.84615,3,0.0665833,0.0551973,142.777,-17.0357,0.894737,0,dudh
0.0,-4.60517,0.322251,0.146825,2.19478,-0.00202157,0.0,2.5,2.5,0.01,1.0,1.0,1.0,40,0.0,0.0348371,213.947,-18.0788,1.0,1,dudh
0.0,-4.60517,0.2129,0.2431,0.875769,0.0131493,2.5,5.0,2.5,0.24,1.54839,1.8819,1.54839,2,0.120208,0.0399513,132.174,-5.99918,0.473684,0,dudh
0.0,-4.60517,0.244703,0.251053,0.974702,-0.00454331,5.0,2.5,-2.5,0.04,0.48,1.35187,0.48,3,0.083865,0.0533034,134.258,-20.4227,0.684211,0,dudh
0.03,-3.21888,0.181554,0.276455,0.656718,-0.0153584,12.5,5.0,-7.5,0.01,0.357143,1.37102,0.357143,5,0.0216795,0.0209066,165.101,27.0613,0.894737,1,dudh
0.0,-4.60517,0.338955,0.0946503,3.58109,-0.00628091,2.5,5.0,2.5,0.24,1.65517,1.76129,1.65517,2,0.13435,0.0508589,197.957,-25.2875,0.947368,0,dudh
0.89,-0.105361,0.0362767,0.220477,0.164536,-0.00274666,0.0,5.0,5.0,0.2,1.0,1.52454,1.0,1,0.0,0.00416548,111.346,2.58849,0.947368,0,dudh
